event_number,direction,break_time,break_close,orb_high,orb_low,orb_range,broken_level,break_vwap,move_away,favorable_extreme,favorable_extreme_time,max_excursion,max_excursion_orb_r,retest,retest_time,retest_high,retest_low,retest_close,retest_vwap,rejection,rejection_time,rejection_close,continuation,continuation_time,continuation_close,status,trade_date
1,SELL,2026-07-20 10:10:00+05:30,1090.4,1103.8,1091.0,12.799999999999955,1091.0,1095.7049827638077,True,1089.2,2026-07-20 10:15:00+05:30,1.7999999999999545,0.14062499999999695,True,2026-07-20 10:15:00+05:30,1092.0,1089.2,1090.8,1095.40747773523,True,2026-07-20 11:40:00+05:30,1090.6,True,2026-07-20 11:50:00+05:30,1088.5,COMPLETE,2026-07-20
1,SELL,2026-07-21 09:45:00+05:30,1077.3,1094.4,1078.0,16.40000000000009,1078.0,1086.4622647083281,True,1077.1,2026-07-21 09:50:00+05:30,0.900000000000091,0.054878048780493044,True,2026-07-21 09:50:00+05:30,1082.8,1077.1,1080.9,1085.9071270691109,True,2026-07-21 10:20:00+05:30,1072.9,True,2026-07-21 10:45:00+05:30,1070.8,COMPLETE,2026-07-21
1,SELL,2026-07-22 10:20:00+05:30,1058.1,1067.3,1058.2,9.099999999999909,1058.2,1064.2431669591194,True,1056.4,2026-07-22 10:25:00+05:30,1.7999999999999545,0.1978021978021948,True,2026-07-22 10:25:00+05:30,1060.1,1056.4,1059.3,1063.6670993015844,True,2026-07-22 10:30:00+05:30,1056.0,True,2026-07-22 12:20:00+05:30,1054.3,COMPLETE,2026-07-22
1,BUY,2026-07-23 11:10:00+05:30,1048.2,1046.9,1032.0,14.900000000000091,1046.9,1042.1287124256564,True,1050.5,2026-07-23 11:15:00+05:30,3.599999999999909,0.241610738255026,True,2026-07-23 11:25:00+05:30,1048.2,1043.0,1043.4,1042.998522284623,True,2026-07-23 11:45:00+05:30,1048.1,True,2026-07-23 11:50:00+05:30,1051.0,COMPLETE,2026-07-23
1,SELL,2026-07-24 10:25:00+05:30,1022.2,1042.6,1023.0,19.59999999999991,1023.0,1035.1288463637975,True,1019.0,2026-07-24 10:30:00+05:30,4.0,0.20408163265306217,True,2026-07-24 10:35:00+05:30,1024.3,1020.1,1022.9,1034.3329926445692,True,2026-07-24 10:50:00+05:30,1020.9,True,2026-07-24 11:05:00+05:30,1019.6,COMPLETE,2026-07-24
1,BUY,2026-07-27 09:30:00+05:30,1074.3,1072.0,1057.4,14.599999999999909,1072.0,1066.1156094552866,True,1077.5,2026-07-27 09:35:00+05:30,5.5,0.3767123287671256,True,2026-07-27 09:45:00+05:30,1075.5,1070.4,1073.1,1068.0402415855876,True,2026-07-27 09:50:00+05:30,1072.9,True,2026-07-27 10:15:00+05:30,1074.2,COMPLETE,2026-07-27
1,BUY,2026-07-28 09:30:00+05:30,1110.4,1110.0,1097.0,13.0,1110.0,1106.0963272368172,True,1111.7,2026-07-28 09:35:00+05:30,1.7000000000000455,0.13076923076923427,True,2026-07-28 09:35:00+05:30,1111.7,1108.1,1110.7,1106.722225506971,True,2026-07-28 09:40:00+05:30,1115.0,True,2026-07-28 12:10:00+05:30,1117.0,COMPLETE,2026-07-28
1,BUY,2026-07-29 10:20:00+05:30,1154.4,1152.0,1128.4,23.59999999999991,1152.0,1144.4224880571182,True,1156.2,2026-07-29 10:25:00+05:30,4.2000000000000455,0.17796610169491786,True,2026-07-29 10:25:00+05:30,1156.2,1151.0,1151.0,1145.077815068104,True,2026-07-29 10:30:00+05:30,1152.3,True,2026-07-29 10:55:00+05:30,1158.8,COMPLETE,2026-07-29
1,SELL,2026-07-30 14:05:00+05:30,1165.8,1186.3,1166.2,20.09999999999991,1166.2,1177.3976724402646,True,1151.3,2026-07-30 14:40:00+05:30,14.900000000000091,0.7412935323383163,False,,,,,,False,,,False,,,MOVE_NO_RETEST,2026-07-30
1,BUY,2026-07-31 09:40:00+05:30,1121.9,1119.0,1107.2,11.799999999999955,1119.0,1114.613656492199,True,1139.3,2026-07-31 12:05:00+05:30,20.299999999999955,1.7203389830508502,False,,,,,,False,,,False,,,MOVE_NO_RETEST,2026-07-31
1,BUY,2026-08-03 10:10:00+05:30,1158.0,1151.2,1138.1,13.100000000000136,1151.2,1146.0221494742652,True,1176.5,2026-08-03 15:10:00+05:30,25.299999999999955,1.9312977099236406,False,,,,,,False,,,False,,,MOVE_NO_RETEST,2026-08-03
1,SELL,2026-08-04 09:50:00+05:30,1161.0,1175.7,1161.9,13.799999999999955,1161.9,1164.5225946097598,True,1160.6,2026-08-04 09:55:00+05:30,1.300000000000182,0.09420289855073813,True,2026-08-04 09:55:00+05:30,1162.0,1160.6,1161.1,1164.2783413144302,True,2026-08-04 10:00:00+05:30,1158.2,True,2026-08-04 10:40:00+05:30,1157.7,COMPLETE,2026-08-04
1,SELL,2026-08-05 09:50:00+05:30,1164.1,1177.5,1165.4,12.099999999999909,1165.4,1169.2152121015347,True,1163.2,2026-08-05 09:55:00+05:30,2.2000000000000455,0.18181818181818693,True,2026-08-05 09:55:00+05:30,1165.5,1163.2,1164.0,1168.9443996299788,True,2026-08-05 10:00:00+05:30,1163.2,False,,,REJECTION_NO_CONTINUATION,2026-08-05
1,SELL,2026-08-06 10:05:00+05:30,1169.7,1185.8,1170.0,15.799999999999955,1170.0,1175.0199025444067,True,1169.3,2026-08-06 10:10:00+05:30,0.7000000000000455,0.044303797468357435,True,2026-08-06 10:10:00+05:30,1171.9,1169.3,1171.5,1174.895482105088,True,2026-08-06 10:25:00+05:30,1168.3,True,2026-08-06 10:55:00+05:30,1167.5,COMPLETE,2026-08-06
1,BUY,2026-08-07 09:30:00+05:30,1180.2,1177.7,1155.6,22.100000000000136,1177.7,1173.1539770436432,True,1183.0,2026-08-07 09:50:00+05:30,5.2999999999999545,0.23981900452488333,True,2026-08-07 10:00:00+05:30,1179.5,1177.4,1178.1,1176.5086750482535,True,2026-08-07 13:40:00+05:30,1179.5,False,,,REJECTION_NO_CONTINUATION,2026-08-07
1,BUY,2026-08-10 09:55:00+05:30,1189.0,1185.0,1175.2,9.799999999999955,1185.0,1180.8895706563633,True,1189.6,2026-08-10 10:00:00+05:30,4.599999999999909,0.46938775510203373,True,2026-08-10 10:00:00+05:30,1189.6,1184.3,1187.0,1181.3319238423283,True,2026-08-10 10:05:00+05:30,1188.6,True,2026-08-10 10:15:00+05:30,1189.4,COMPLETE,2026-08-10
1,BUY,2026-08-11 09:30:00+05:30,1193.3,1192.6,1183.2,9.399999999999864,1192.6,1190.0812303362811,True,1193.5,2026-08-11 09:35:00+05:30,0.900000000000091,0.09574468085107489,True,2026-08-11 09:35:00+05:30,1193.5,1191.3,1191.3,1190.3077748233904,False,,,False,,,RETEST_NO_REJECTION,2026-08-11
