trade_index,trade_date,direction,signal_time,signal_close,signal_high,signal_low,signal_vwap,orb_high,orb_low,broken_zone_low,broken_zone_high,broken_level_primary,broken_level_secondary,signal_found,break_confirmed,move_away,move_away_time,move_away_price,favorable_extreme,favorable_extreme_time,retest_reached,retest_time,retest_price,retest_candle_high,retest_candle_low,retest_candle_close,rejection,rejection_time,rejection_price,continuation,continuation_time,continuation_price,status
30,2026-07-23,BUY,2026-07-23 14:15:00+05:30,1047.3,1049.0,1045.0,1044.5902861173543,1046.9,1032.0,1044.5902861173543,1046.9,1046.9,1044.5902861173543,True,True,True,2026-07-23 14:20:00+05:30,1048.5,1055.7,2026-07-23 14:35:00+05:30,True,2026-07-23 14:40:00+05:30,1046.9,1048.6,1044.8,1045.3,True,2026-07-23 15:05:00+05:30,1047.2,True,2026-07-23 15:20:00+05:30,1050.7,COMPLETE_RETEST_SEQUENCE
31,2026-07-23,BUY,2026-07-23 15:05:00+05:30,1047.2,1048.3,1044.1,1045.06813810418,1046.9,1032.0,1045.06813810418,1046.9,1046.9,1045.06813810418,True,True,True,2026-07-23 15:20:00+05:30,1051.4,1058.5,2026-07-23 15:25:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
32,2026-07-23,BUY,2026-07-23 15:20:00+05:30,1050.7,1051.4,1046.2,1045.208570721018,1046.9,1032.0,1045.208570721018,1046.9,1046.9,1045.208570721018,True,True,True,2026-07-23 15:25:00+05:30,1058.5,1058.5,2026-07-23 15:25:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
33,2026-07-24,SELL,2026-07-24 10:25:00+05:30,1022.2,1026.6,1021.4,1035.1288463637975,1042.6,1023.0,1023.0,1035.1288463637975,1023.0,1035.1288463637975,True,True,True,2026-07-24 10:30:00+05:30,1019.0,1019.0,2026-07-24 10:30:00+05:30,True,2026-07-24 10:35:00+05:30,1023.0,1024.3,1020.1,1022.9,True,2026-07-24 10:50:00+05:30,1020.9,True,2026-07-24 11:05:00+05:30,1019.6,COMPLETE_RETEST_SEQUENCE
34,2026-07-27,BUY,2026-07-27 09:30:00+05:30,1074.3,1077.0,1069.0,1066.1156094552866,1072.0,1057.4,1066.1156094552866,1072.0,1072.0,1066.1156094552866,True,True,True,2026-07-27 09:35:00+05:30,1077.5,1077.5,2026-07-27 09:35:00+05:30,True,2026-07-27 09:45:00+05:30,1072.0,1075.5,1070.4,1073.1,True,2026-07-27 09:50:00+05:30,1072.9,True,2026-07-27 10:15:00+05:30,1074.2,COMPLETE_RETEST_SEQUENCE
35,2026-07-28,BUY,2026-07-28 09:30:00+05:30,1110.4,1111.6,1105.7,1106.0963272368172,1110.0,1097.0,1106.0963272368172,1110.0,1110.0,1106.0963272368172,True,True,True,2026-07-28 09:35:00+05:30,1111.7,1115.8,2026-07-28 09:40:00+05:30,True,2026-07-28 09:45:00+05:30,1110.0,1115.0,1107.0,1112.3,True,2026-07-28 09:50:00+05:30,1114.7,True,2026-07-28 12:10:00+05:30,1117.0,COMPLETE_RETEST_SEQUENCE
36,2026-07-28,BUY,2026-07-28 11:45:00+05:30,1111.3,1111.3,1107.0,1108.4049647982147,1110.0,1097.0,1108.4049647982147,1110.0,1110.0,1108.4049647982147,True,True,True,2026-07-28 11:50:00+05:30,1113.7,1118.5,2026-07-28 12:10:00+05:30,True,2026-07-28 12:35:00+05:30,1110.0,1112.1,1110.0,1112.0,True,2026-07-28 12:40:00+05:30,1112.0,False,,,REJECTION_BUT_NO_CONTINUATION
37,2026-07-29,BUY,2026-07-29 10:20:00+05:30,1154.4,1154.9,1148.0,1144.4224880571182,1152.0,1128.4,1144.4224880571182,1152.0,1152.0,1144.4224880571182,True,True,True,2026-07-29 10:25:00+05:30,1156.2,1156.2,2026-07-29 10:25:00+05:30,True,2026-07-29 10:30:00+05:30,1152.0,1153.9,1150.0,1152.3,True,2026-07-29 10:35:00+05:30,1152.6,True,2026-07-29 10:55:00+05:30,1158.8,COMPLETE_RETEST_SEQUENCE
38,2026-07-29,BUY,2026-07-29 13:15:00+05:30,1153.2,1153.6,1150.9,1150.7425792349304,1152.0,1128.4,1150.7425792349304,1152.0,1152.0,1150.7425792349304,True,True,True,2026-07-29 13:20:00+05:30,1155.0,1158.7,2026-07-29 14:20:00+05:30,True,2026-07-29 14:40:00+05:30,1152.0,1154.5,1151.9,1152.2,True,2026-07-29 14:45:00+05:30,1153.0,True,2026-07-29 14:50:00+05:30,1154.3,COMPLETE_RETEST_SEQUENCE
39,2026-07-30,SELL,2026-07-30 14:05:00+05:30,1165.8,1169.3,1165.7,1177.3976724402646,1186.3,1166.2,1166.2,1177.3976724402646,1166.2,1177.3976724402646,True,True,True,2026-07-30 14:10:00+05:30,1162.5,1151.3,2026-07-30 14:40:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
40,2026-07-31,BUY,2026-07-31 09:40:00+05:30,1121.9,1122.7,1116.1,1114.613656492199,1119.0,1107.2,1114.613656492199,1119.0,1119.0,1114.613656492199,True,True,True,2026-07-31 09:45:00+05:30,1126.6,1139.3,2026-07-31 12:05:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
41,2026-07-31,BUY,2026-07-31 14:45:00+05:30,1129.0,1130.0,1127.0,1127.1940987102312,1119.0,1107.2,1119.0,1127.1940987102312,1119.0,1127.1940987102312,True,True,True,2026-07-31 14:50:00+05:30,1129.2,1129.2,2026-07-31 14:50:00+05:30,True,2026-07-31 14:55:00+05:30,1127.1940987102312,1128.1,1126.3,1127.5,True,2026-07-31 15:00:00+05:30,1128.1,True,2026-07-31 15:05:00+05:30,1131.5,COMPLETE_RETEST_SEQUENCE
42,2026-07-31,BUY,2026-07-31 14:55:00+05:30,1127.5,1128.1,1126.3,1127.2039078305454,1119.0,1107.2,1119.0,1127.2039078305454,1119.0,1127.2039078305454,True,True,True,2026-07-31 15:00:00+05:30,1129.5,1132.9,2026-07-31 15:10:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
