trade_index,trade_date,direction,signal_time,entry_time,entry_price,risk,original_stop_loss,original_target,original_exit_time,original_exit_reason,initial_move_r,pullback_r,initial_move_reached,initial_move_time,pullback_detected,pullback_time,pullback_price,max_favorable_before_pullback_r,target_after_pullback,target_after_pullback_time,stop_before_pullback,stop_after_pullback,target_before_pullback,valid_pullback_target,valid_pullback_target_without_prior_stop
57,2026-08-07,BUY,2026-08-07 14:20:00+05:30,2026-08-07 14:25:00+05:30,1178.88915,2.3891499999999724,1176.5,1183.66745,2026-08-07 14:50:00+05:30,STOP_LOSS,1.5,0.25,True,2026-08-10 09:15:00+05:30,True,2026-08-10 09:20:00+05:30,1184.4027125,5.027248184500872,True,2026-08-10 09:55:00+05:30,True,True,True,False,False
57,2026-08-07,BUY,2026-08-07 14:20:00+05:30,2026-08-07 14:25:00+05:30,1178.88915,2.3891499999999724,1176.5,1183.66745,2026-08-07 14:50:00+05:30,STOP_LOSS,1.5,0.5,True,2026-08-10 09:15:00+05:30,True,2026-08-10 09:20:00+05:30,1183.805425,5.027248184500872,True,2026-08-10 09:55:00+05:30,True,True,True,False,False
57,2026-08-07,BUY,2026-08-07 14:20:00+05:30,2026-08-07 14:25:00+05:30,1178.88915,2.3891499999999724,1176.5,1183.66745,2026-08-07 14:50:00+05:30,STOP_LOSS,1.5,0.75,True,2026-08-10 09:15:00+05:30,True,2026-08-10 09:20:00+05:30,1183.2081375,5.027248184500872,True,2026-08-10 09:55:00+05:30,True,True,True,False,False
57,2026-08-07,BUY,2026-08-07 14:20:00+05:30,2026-08-07 14:25:00+05:30,1178.88915,2.3891499999999724,1176.5,1183.66745,2026-08-07 14:50:00+05:30,STOP_LOSS,1.5,1.0,True,2026-08-10 09:15:00+05:30,True,2026-08-10 09:20:00+05:30,1182.61085,5.027248184500872,True,2026-08-10 09:55:00+05:30,True,True,True,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,0.5,0.25,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,0.5,0.5,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,0.5,0.75,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,0.5,1.0,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,0.75,0.25,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,0.75,0.5,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,0.75,0.75,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,0.75,1.0,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,1.0,0.25,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,1.0,0.5,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,1.0,0.75,False,,False,,,0.0,False,,False,False,False,False,False
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,2026-08-10 10:00:00+05:30,1189.9947000000002,11.19470000000024,1178.8,1212.384100000001,2026-08-10 11:50:00+05:30,STOP_LOSS,1.0,1.0,False,,False,,,0.0,False,,False,False,False,False,False
