symbol,trade_date,direction,signal_candle_time,entry_candle_time,entry_hour,ema9,ema21,ema_regime_ok,entry_price,orb_high,orb_low,orb_range,stop_loss,initial_risk,target,exit_time,exit_price,exit_reason,ambiguous,mfe_r,mae_r,net_pnl,net_r,variant
ICICIBANK,2026-05-26,BUY,2026-05-26 09:35:00,2026-05-26 09:40:00,09:40,1294.077949280595,1290.6113250944109,True,1300.95015,1296.4,1282.9,13.5,1294.20015,6.75,1314.45015,2026-05-26 09:55:00,1294.20015,STOP_LOSS,False,0.12590370370371265,1.0148370370370348,-9.3451503,-1.384466711111111,BASELINE_ORBVWAP
ICICIBANK,2026-05-26,SELL,2026-05-26 14:10:00,2026-05-26 14:15:00,14:15,1284.0911479871588,1286.3369964667531,True,1281.359,1296.4,1282.9,13.5,1288.109,6.75,1267.859,2026-05-26 15:25:00,1280.9,END_OF_DAY,False,0.7642962962962783,0.2579259259259238,-2.1032590000001674,-0.31159392592595075,BASELINE_ORBVWAP
ICICIBANK,2026-05-27,BUY,2026-05-27 10:10:00,2026-05-27 10:15:00,10:15,1283.7426055775582,1282.3401206989688,True,1288.644,1287.0,1275.2,11.799999999999955,1282.7440000000001,5.899999999999864,1300.4439999999997,2026-05-27 12:30:00,1282.7440000000001,STOP_LOSS,False,0.8061016949152874,1.024406779661057,-8.471387999999862,-1.435828474576281,BASELINE_ORBVWAP
ICICIBANK,2026-05-27,SELL,2026-05-27 14:05:00,2026-05-27 14:10:00,14:10,1276.0037566457963,1278.753248373686,True,1271.66385,1287.0,1275.2,11.799999999999955,1277.56385,5.900000000000091,1259.8638499999997,2026-05-27 15:25:00,1272.5,END_OF_DAY,False,0.8413305084745405,0.5823983050847364,-3.3803138500000887,-0.5729345508474638,BASELINE_ORBVWAP
ICICIBANK,2026-05-29,SELL,2026-05-29 09:50:00,2026-05-29 09:55:00,09:55,1276.098830803251,1275.55370052667,False,1273.86275,1287.8,1275.1,12.700000000000045,1280.2127500000001,6.350000000000136,1261.1627499999997,2026-05-29 10:15:00,1280.2127500000001,STOP_LOSS,False,0.0,1.0924803149605984,-8.904075500000136,-1.4022166141732197,BASELINE_ORBVWAP
ICICIBANK,2026-06-01,SELL,2026-06-01 11:30:00,2026-06-01 11:35:00,11:35,1252.8624145267709,1254.2786215318251,True,1249.4749499999998,1261.0,1251.1,9.900000000000091,1254.4249499999999,4.9500000000000455,1239.5749499999997,2026-06-01 14:05:00,1239.5749499999997,TARGET,False,2.055545454545406,0.6919292929293438,7.4109501000000915,1.497161636363641,BASELINE_ORBVWAP
ICICIBANK,2026-06-02,SELL,2026-06-02 09:45:00,2026-06-02 09:50:00,09:50,1232.074835695054,1235.5498302247397,True,1226.68635,1235.8,1228.0,7.7999999999999545,1230.58635,3.900000000000091,1218.8863499999998,2026-06-02 10:25:00,1230.58635,STOP_LOSS,False,0.6888076923076628,1.0547820512820285,-6.357272700000091,-1.6300699230769085,BASELINE_ORBVWAP
ICICIBANK,2026-06-02,BUY,2026-06-02 13:25:00,2026-06-02 13:30:00,13:30,1233.7602114210993,1231.0506405773276,True,1236.618,1235.8,1228.0,7.7999999999999545,1232.7179999999998,3.900000000000091,1244.4180000000001,2026-06-02 14:15:00,1232.7179999999998,STOP_LOSS,False,0.174871794871795,1.158461538461519,-6.369336000000091,-1.6331630769230623,BASELINE_ORBVWAP
ICICIBANK,2026-06-03,SELL,2026-06-03 09:30:00,2026-06-03 09:35:00,09:35,1222.4091210009617,1226.0850617277893,True,1214.89225,1226.6,1217.3,9.299999999999955,1219.54225,4.649999999999864,1205.5922500000004,2026-06-03 10:15:00,1219.54225,STOP_LOSS,False,0.25639784946238564,1.227473118279564,-7.084434499999864,-1.5235343010752842,BASELINE_ORBVWAP
ICICIBANK,2026-06-04,BUY,2026-06-04 09:40:00,2026-06-04 09:45:00,09:45,1241.1493083383878,1241.3030418071446,False,1243.6215,1242.4,1232.2,10.200000000000045,1238.5214999999998,5.100000000000136,1253.8215000000002,2026-06-04 10:45:00,1253.8215000000002,TARGET,False,2.3487254901960037,0.1218627450980299,7.702557000000272,1.51030529411766,BASELINE_ORBVWAP
ICICIBANK,2026-06-05,SELL,2026-06-05 10:35:00,2026-06-05 10:40:00,10:40,1255.7269787416594,1256.1489315293975,True,1249.87475,1263.4,1255.1,8.300000000000182,1254.02475,4.150000000000091,1241.5747499999998,2026-06-05 10:50:00,1254.02475,STOP_LOSS,False,0.0,1.1386144578312907,-6.653899500000091,-1.6033492771084206,BASELINE_ORBVWAP
ICICIBANK,2026-06-09,BUY,2026-06-09 09:30:00,2026-06-09 09:35:00,09:35,1261.3030961480001,1256.4321708310129,True,1273.2362999999998,1269.8,1252.7,17.09999999999991,1264.6862999999998,8.549999999999955,1290.3362999999997,2026-06-09 10:55:00,1264.6862999999998,STOP_LOSS,False,0.0,1.1855321637426837,-11.087922599999954,-1.2968330526315806,BASELINE_ORBVWAP
ICICIBANK,2026-06-10,BUY,2026-06-10 09:45:00,2026-06-10 09:50:00,09:50,1284.3216399506139,1280.4545225395384,True,1290.4449,1288.6,1271.3,17.299999999999955,1281.7948999999999,8.650000000000091,1307.7449000000001,2026-06-10 15:25:00,1293.0,END_OF_DAY,False,1.7982774566473845,0.8259999999999921,-0.02834489999996137,-0.003276867052018621,BASELINE_ORBVWAP
ICICIBANK,2026-06-11,BUY,2026-06-11 09:35:00,2026-06-11 09:40:00,09:40,1298.8538337496632,1297.507421133992,True,1303.3513500000001,1302.5,1286.5,16.0,1295.3513500000001,8.0,1319.3513500000001,2026-06-11 10:20:00,1319.3513500000001,TARGET,False,2.0810812499999827,0.23141875000001733,13.377297299999999,1.6721621624999998,BASELINE_ORBVWAP
ICICIBANK,2026-06-12,SELL,2026-06-12 10:00:00,2026-06-12 10:05:00,10:05,1324.4591220473858,1323.63249407613,False,1320.7393000000002,1338.8,1324.2,14.599999999999909,1328.0393000000001,7.2999999999999545,1306.1393000000003,2026-06-12 11:40:00,1328.0393000000001,STOP_LOSS,False,0.27935616438358246,1.2822876712328468,-9.948778599999955,-1.362846383561646,BASELINE_ORBVWAP
ICICIBANK,2026-06-12,BUY,2026-06-12 14:15:00,2026-06-12 14:20:00,14:20,1336.1484690228028,1333.0935178729133,True,1339.96965,1338.8,1324.2,14.599999999999909,1332.66965,7.2999999999999545,1354.56965,2026-06-12 15:25:00,1340.0,END_OF_DAY,False,0.5931986301369836,0.22871917808219963,-2.6496196500000013,-0.3629615958904134,BASELINE_ORBVWAP
ICICIBANK,2026-06-15,SELL,2026-06-15 09:35:00,2026-06-15 09:40:00,09:40,1345.7425283594462,1342.4430234619358,False,1345.5269,1362.7,1347.0,15.700000000000045,1353.3769000000002,7.850000000000136,1329.8268999999998,2026-06-15 15:00:00,1329.8268999999998,TARGET,False,2.4875031847133413,0.8118598726114536,13.024646200000273,1.6591905987261206,BASELINE_ORBVWAP
ICICIBANK,2026-06-16,SELL,2026-06-16 10:00:00,2026-06-16 10:05:00,10:05,1329.803633566914,1330.6778646906118,True,1326.23655,1334.9,1328.8,6.100000000000136,1329.2865500000003,3.050000000000182,1320.1365499999997,2026-06-16 10:20:00,1329.2865500000003,STOP_LOSS,False,0.0,1.2339180327867856,-5.705523100000182,-1.870663311475358,BASELINE_ORBVWAP
ICICIBANK,2026-06-16,BUY,2026-06-16 15:05:00,2026-06-16 15:10:00,15:10,1332.231673486577,1331.4047041938652,True,1337.2683,1334.9,1328.8,6.100000000000136,1334.2183,3.0499999999999545,1343.3682999999999,2026-06-16 15:15:00,1334.2183,STOP_LOSS,False,0.010393442622951212,1.005999999999985,-5.721486599999954,-1.8758972459016523,BASELINE_ORBVWAP
ICICIBANK,2026-06-17,BUY,2026-06-17 10:20:00,2026-06-17 10:25:00,10:25,1341.8366714832391,1339.2080396519075,True,1345.17225,1343.6,1337.2,6.399999999999864,1341.9722500000003,3.199999999999818,1351.5722499999997,2026-06-17 10:35:00,1341.9722500000003,STOP_LOSS,False,0.25867187499999084,1.1163281250001158,-5.887144499999819,-1.8397326562500478,BASELINE_ORBVWAP
ICICIBANK,2026-06-17,SELL,2026-06-17 14:20:00,2026-06-17 14:25:00,14:25,1337.6299529789658,1337.4626433509422,False,1335.5319,1343.6,1337.2,6.399999999999864,1338.7318999999998,3.199999999999818,1329.1319000000003,2026-06-17 15:25:00,1337.0,END_OF_DAY,False,0.666218749999994,0.8337812500000771,-4.1406319000000495,-1.2939474687500891,BASELINE_ORBVWAP
ICICIBANK,2026-06-18,SELL,2026-06-18 10:35:00,2026-06-18 10:40:00,10:40,1334.9649428496257,1335.9509772597119,True,1331.334,1341.3,1333.6,7.7000000000000455,1335.1840000000002,3.8500000000001364,1323.6339999999998,2026-06-18 11:40:00,1335.1840000000002,STOP_LOSS,False,0.0,1.471688311688244,-6.516518000000136,-1.6926020779220534,BASELINE_ORBVWAP
ICICIBANK,2026-06-18,BUY,2026-06-18 14:55:00,2026-06-18 15:00:00,15:00,1342.2175033625783,1342.7171708755575,False,1342.17075,1341.3,1333.6,7.7000000000000455,1338.3207499999999,3.8500000000001364,1349.8707500000003,2026-06-18 15:25:00,1341.0,END_OF_DAY,False,0.7608441558441057,0.6677272727272722,-3.8539207499999986,-1.0010183766233407,BASELINE_ORBVWAP
ICICIBANK,2026-06-19,BUY,2026-06-19 10:40:00,2026-06-19 10:45:00,10:45,1346.3006685362855,1345.3046029463185,True,1347.57345,1346.8,1332.0,14.799999999999955,1340.1734500000002,7.399999999999864,1362.3734499999998,2026-06-19 15:25:00,1347.8,END_OF_DAY,False,0.638722972972966,0.8883040540540831,-2.468823450000139,-0.3336247905405655,BASELINE_ORBVWAP
