symbol,entry_minute,entries,buys,sells
OLAELEC,12:45,12,8,4
OLAELEC,12:50,10,3,7
OLAELEC,12:55,10,2,8
OLAELEC,13:00,6,6,0
OLAELEC,13:05,11,5,6
OLAELEC,13:10,4,3,1
OLAELEC,13:15,11,6,5
OLAELEC,13:20,9,6,3
OLAELEC,13:25,11,6,5
OLAELEC,13:30,11,4,7
OLAELEC,13:35,5,3,2
OLAELEC,13:40,9,4,5
OLAELEC,13:45,14,6,8
OLAELEC,13:50,11,5,6
OLAELEC,13:55,16,11,5
OLAELEC,14:00,13,4,9
OLAELEC,14:05,13,9,4
OLAELEC,14:10,14,7,7
OLAELEC,14:15,6,3,3
OLAELEC,14:20,11,3,8
OLAELEC,14:25,13,5,8
OLAELEC,14:30,9,4,5
OLAELEC,14:35,7,6,1
OLAELEC,14:40,12,4,8
OLAELEC,14:45,15,8,7
OLAELEC,14:50,15,10,5
OLAELEC,14:55,20,15,5
OLAELEC,15:00,20,14,6
OLAELEC,15:05,15,8,7
OLAELEC,15:10,15,7,8
OLAELEC,15:15,11,2,9
OLAELEC,15:20,11,3,8
OLAELEC,15:25,10,6,4
RELIANCE,09:20,49,27,22
RELIANCE,09:25,33,27,6
RELIANCE,09:30,21,8,13
RELIANCE,09:35,6,2,4
RELIANCE,09:40,9,4,5
RELIANCE,09:45,5,1,4
RELIANCE,09:50,9,3,6
RELIANCE,09:55,6,4,2
RELIANCE,10:00,5,4,1
RELIANCE,10:05,8,1,7
RELIANCE,10:10,3,3,0
RELIANCE,10:15,4,2,2
RELIANCE,10:20,9,8,1
RELIANCE,10:25,7,3,4
RELIANCE,10:30,9,1,8
RELIANCE,10:35,7,6,1
RELIANCE,10:40,9,4,5
RELIANCE,10:45,12,7,5
RELIANCE,10:50,9,4,5
RELIANCE,10:55,8,2,6
RELIANCE,11:00,8,4,4
RELIANCE,11:05,9,3,6
RELIANCE,11:10,4,3,1
RELIANCE,11:15,5,5,0
RELIANCE,11:20,8,4,4
RELIANCE,11:25,15,6,9
RELIANCE,11:30,10,6,4
RELIANCE,11:35,9,4,5
RELIANCE,11:40,6,3,3
RELIANCE,11:45,7,2,5
RELIANCE,11:50,5,2,3
RELIANCE,11:55,6,2,4
RELIANCE,12:00,8,6,2
RELIANCE,12:05,12,3,9
RELIANCE,12:10,14,8,6
RELIANCE,12:15,8,1,7
RELIANCE,12:20,12,4,8
RELIANCE,12:25,12,9,3
RELIANCE,12:30,11,5,6
RELIANCE,12:35,11,4,7
RELIANCE,12:40,13,10,3
RELIANCE,12:45,9,5,4
RELIANCE,12:50,9,7,2
RELIANCE,12:55,10,5,5
RELIANCE,13:00,14,7,7
RELIANCE,13:05,11,8,3
RELIANCE,13:10,10,6,4
RELIANCE,13:15,12,7,5
RELIANCE,13:20,10,2,8
RELIANCE,13:25,12,6,6
RELIANCE,13:30,8,1,7
RELIANCE,13:35,13,7,6
RELIANCE,13:40,15,8,7
RELIANCE,13:45,19,10,9
RELIANCE,13:50,9,5,4
RELIANCE,13:55,17,6,11
RELIANCE,14:00,12,5,7
RELIANCE,14:05,13,7,6
RELIANCE,14:10,11,4,7
RELIANCE,14:15,11,6,5
RELIANCE,14:20,10,5,5
RELIANCE,14:25,12,6,6
RELIANCE,14:30,12,2,10
RELIANCE,14:35,13,7,6
RELIANCE,14:40,14,6,8
