symbol,trade_date,direction,signal_candle_time,entry_candle_time,entry_hour,entry_price,orb_high,orb_low,orb_range,stop_loss,initial_risk,target,exit_time,exit_price,exit_reason,ambiguous,net_pnl,net_r,variant
OLAELEC,2026-05-14,SELL,2026-05-14 09:40:00,2026-05-14 09:45:00,09:45,35.672155,36.39,35.95,0.4399999999999977,35.892154999999995,0.21999999999999886,35.232155,2026-05-14 09:45:00,35.892154999999995,STOP_LOSS,False,-0.2915643099999988,-1.3252923181818197,ORB_50PCT
OLAELEC,2026-05-14,SELL,2026-05-14 09:40:00,2026-05-14 09:45:00,09:45,35.672155,36.39,35.95,0.4399999999999977,36.39,0.7178450000000041,34.23646499999999,2026-05-14 14:25:00,36.39,STOP_LOSS,False,-0.7899071550000041,-1.1003867896272868,ORB_BOUNDARY
OLAELEC,2026-05-14,SELL,2026-05-14 14:40:00,2026-05-14 14:45:00,14:45,35.72213,36.39,35.95,0.4399999999999977,35.94213,0.21999999999999886,35.28213,2026-05-14 15:00:00,35.94213,STOP_LOSS,False,-0.29166425999999884,-1.3257466363636379,ORB_50PCT
OLAELEC,2026-05-14,SELL,2026-05-14 14:40:00,2026-05-14 14:45:00,14:45,35.72213,36.39,35.95,0.4399999999999977,36.39,0.6678700000000006,34.38639,2026-05-14 15:25:00,36.05,END_OF_DAY,False,-0.3996421299999972,-0.5983831134801636,ORB_BOUNDARY
OLAELEC,2026-05-15,SELL,2026-05-15 09:30:00,2026-05-15 09:35:00,09:35,35.52223,36.37,35.6,0.769999999999996,35.90723,0.384999999999998,34.752230000000004,2026-05-15 10:10:00,35.90723,STOP_LOSS,False,-0.456429459999998,-1.1855310649350659,ORB_50PCT
OLAELEC,2026-05-15,SELL,2026-05-15 09:30:00,2026-05-15 09:35:00,09:35,35.52223,36.37,35.6,0.769999999999996,36.37,0.847769999999997,33.826690000000006,2026-05-15 15:25:00,35.7,END_OF_DAY,False,-0.24899223000000242,-0.29370257263173183,ORB_BOUNDARY
OLAELEC,2026-05-18,SELL,2026-05-18 09:50:00,2026-05-18 09:55:00,09:55,34.62268,35.67,34.69,0.980000000000004,35.112680000000005,0.490000000000002,33.64268,2026-05-18 15:25:00,35.04,END_OF_DAY,False,-0.48698267999999656,-0.9938422040816216,ORB_50PCT
OLAELEC,2026-05-18,SELL,2026-05-18 09:50:00,2026-05-18 09:55:00,09:55,34.62268,35.67,34.69,0.980000000000004,35.67,1.0473199999999991,32.528040000000004,2026-05-18 15:25:00,35.04,END_OF_DAY,False,-0.48698267999999656,-0.46497983424359024,ORB_BOUNDARY
OLAELEC,2026-05-19,BUY,2026-05-19 09:40:00,2026-05-19 09:45:00,09:45,36.298140000000004,36.19,34.95,1.2399999999999949,35.678140000000006,0.6199999999999974,37.53814,2026-05-19 10:30:00,37.53814,TARGET,False,1.1661637199999948,1.880909225806451,ORB_50PCT
OLAELEC,2026-05-19,BUY,2026-05-19 09:40:00,2026-05-19 09:45:00,09:45,36.298140000000004,36.19,34.95,1.2399999999999949,34.95,1.3481400000000008,38.994420000000005,2026-05-19 15:25:00,36.61,END_OF_DAY,False,0.2389518599999958,0.17724558280296976,ORB_BOUNDARY
OLAELEC,2026-05-20,BUY,2026-05-20 09:30:00,2026-05-20 09:35:00,09:35,37.63881,37.57,36.02,1.5499999999999972,36.86381,0.7749999999999986,39.18881,2026-05-20 13:05:00,36.86381,STOP_LOSS,False,-0.8495026199999985,-1.096132412903226,ORB_50PCT
OLAELEC,2026-05-20,BUY,2026-05-20 09:30:00,2026-05-20 09:35:00,09:35,37.63881,37.57,36.02,1.5499999999999972,36.02,1.6188099999999963,40.87642999999999,2026-05-20 15:25:00,36.42,END_OF_DAY,False,-1.2928688099999976,-0.7986538321359521,ORB_BOUNDARY
