trade_date,symbol,entries,buys,sells
2025-10-24,TMPV,1,1,0
2025-10-27,ASHOKLEY,3,2,1
2025-10-27,ICICIBANK,5,2,3
2025-10-27,INFY,2,1,1
2025-10-27,OLAELEC,4,2,2
2025-10-27,RELIANCE,3,2,1
2025-10-27,SUZLON,6,3,3
2025-10-27,TMPV,4,2,2
2025-10-28,ASHOKLEY,2,1,1
2025-10-28,ICICIBANK,3,2,1
2025-10-28,INFY,4,2,2
2025-10-28,OLAELEC,5,2,3
2025-10-28,RELIANCE,6,3,3
2025-10-28,SUZLON,3,2,1
2025-10-28,TMPV,2,1,1
2025-10-29,ASHOKLEY,5,2,3
2025-10-29,ICICIBANK,2,1,1
2025-10-29,INFY,1,0,1
2025-10-29,OLAELEC,2,1,1
2025-10-29,RELIANCE,6,3,3
2025-10-29,SUZLON,2,1,1
2025-10-29,TMPV,3,1,2
2025-10-30,ASHOKLEY,2,1,1
2025-10-30,ICICIBANK,3,1,2
2025-10-30,INFY,3,2,1
2025-10-30,OLAELEC,4,2,2
2025-10-30,RELIANCE,3,1,2
2025-10-30,SUZLON,4,2,2
2025-10-30,TMPV,5,3,2
2025-10-31,ASHOKLEY,1,0,1
2025-10-31,ICICIBANK,2,1,1
2025-10-31,INFY,3,1,2
2025-10-31,OLAELEC,4,2,2
2025-10-31,RELIANCE,6,3,3
2025-10-31,SUZLON,3,1,2
2025-10-31,TMPV,1,0,1
2025-11-03,ASHOKLEY,2,1,1
2025-11-03,ICICIBANK,4,2,2
2025-11-03,INFY,3,2,1
2025-11-03,OLAELEC,3,2,1
2025-11-03,RELIANCE,4,2,2
2025-11-03,SUZLON,5,3,2
2025-11-03,TMPV,3,2,1
2025-11-04,ASHOKLEY,3,2,1
2025-11-04,ICICIBANK,5,2,3
2025-11-04,INFY,3,1,2
2025-11-04,OLAELEC,3,1,2
2025-11-04,RELIANCE,4,2,2
2025-11-04,SUZLON,3,1,2
2025-11-04,TMPV,1,0,1
2025-11-06,ASHOKLEY,3,1,2
2025-11-06,ICICIBANK,2,1,1
2025-11-06,INFY,4,2,2
2025-11-06,OLAELEC,2,1,1
2025-11-06,RELIANCE,3,2,1
2025-11-06,SUZLON,4,2,2
2025-11-06,TMPV,8,4,4
2025-11-07,ASHOKLEY,5,3,2
2025-11-07,ICICIBANK,1,1,0
2025-11-07,INFY,1,1,0
2025-11-07,OLAELEC,2,1,1
2025-11-07,RELIANCE,7,3,4
2025-11-07,SUZLON,1,1,0
2025-11-07,TMPV,3,2,1
2025-11-10,ASHOKLEY,4,2,2
2025-11-10,ICICIBANK,4,2,2
2025-11-10,INFY,1,0,1
2025-11-10,RELIANCE,2,1,1
2025-11-10,SUZLON,2,1,1
2025-11-10,TMPV,1,0,1
2025-11-11,ASHOKLEY,2,1,1
2025-11-11,ICICIBANK,4,2,2
2025-11-11,INFY,3,2,1
2025-11-11,OLAELEC,4,2,2
2025-11-11,RELIANCE,1,1,0
2025-11-11,SUZLON,4,2,2
2025-11-11,TMPV,1,1,0
2025-11-12,ASHOKLEY,11,5,6
2025-11-12,ICICIBANK,3,1,2
2025-11-12,INFY,3,1,2
2025-11-12,OLAELEC,3,2,1
2025-11-12,RELIANCE,1,0,1
2025-11-12,SUZLON,3,1,2
2025-11-12,TMPV,1,0,1
2025-11-13,ASHOKLEY,3,2,1
2025-11-13,ICICIBANK,2,1,1
2025-11-13,INFY,2,1,1
2025-11-13,OLAELEC,5,2,3
2025-11-13,RELIANCE,2,1,1
2025-11-13,TMPV,2,1,1
2025-11-14,ASHOKLEY,1,0,1
2025-11-14,ICICIBANK,1,1,0
2025-11-14,INFY,1,1,0
2025-11-14,OLAELEC,8,4,4
2025-11-14,RELIANCE,7,4,3
2025-11-14,SUZLON,5,3,2
2025-11-14,TMPV,1,1,0
2025-11-17,ASHOKLEY,6,3,3
2025-11-17,ICICIBANK,1,0,1
2025-11-17,INFY,2,1,1
2025-11-17,OLAELEC,7,3,4
2025-11-17,RELIANCE,2,1,1
2025-11-17,SUZLON,4,2,2
2025-11-17,TMPV,3,1,2
2025-11-18,ASHOKLEY,4,2,2
2025-11-18,ICICIBANK,7,3,4
2025-11-18,INFY,5,2,3
2025-11-18,OLAELEC,2,1,1
2025-11-18,RELIANCE,3,1,2
2025-11-18,SUZLON,5,2,3
2025-11-18,TMPV,4,2,2
2025-11-19,ASHOKLEY,4,2,2
2025-11-19,ICICIBANK,3,2,1
2025-11-19,INFY,3,2,1
2025-11-19,OLAELEC,7,3,4
2025-11-19,RELIANCE,2,1,1
2025-11-19,SUZLON,4,2,2
2025-11-20,ASHOKLEY,5,3,2
2025-11-20,ICICIBANK,7,3,4
2025-11-20,INFY,3,1,2
2025-11-20,OLAELEC,6,3,3
2025-11-20,RELIANCE,1,1,0
2025-11-20,SUZLON,4,2,2
2025-11-20,TMPV,6,3,3
2025-11-21,ASHOKLEY,3,1,2
2025-11-21,ICICIBANK,3,2,1
2025-11-21,INFY,2,1,1
2025-11-21,OLAELEC,2,1,1
2025-11-21,RELIANCE,7,3,4
2025-11-21,TMPV,7,4,3
2025-11-24,ASHOKLEY,6,3,3
2025-11-24,ICICIBANK,3,1,2
2025-11-24,INFY,4,2,2
2025-11-24,OLAELEC,4,2,2
2025-11-24,RELIANCE,4,2,2
2025-11-24,SUZLON,4,2,2
2025-11-24,TMPV,5,2,3
2025-11-25,ASHOKLEY,4,2,2
2025-11-25,ICICIBANK,2,1,1
2025-11-25,INFY,4,2,2
2025-11-25,OLAELEC,4,2,2
2025-11-25,RELIANCE,4,2,2
2025-11-25,SUZLON,4,2,2
2025-11-25,TMPV,2,1,1
2025-11-26,ASHOKLEY,1,1,0
2025-11-26,ICICIBANK,3,2,1
2025-11-26,INFY,1,1,0
2025-11-26,OLAELEC,2,1,1
2025-11-26,RELIANCE,3,2,1
2025-11-26,SUZLON,3,2,1
2025-11-26,TMPV,3,2,1
2025-11-27,ICICIBANK,2,1,1
2025-11-27,INFY,2,1,1
2025-11-27,OLAELEC,5,3,2
2025-11-27,RELIANCE,4,2,2
2025-11-27,SUZLON,1,0,1
2025-11-27,TMPV,3,1,2
2025-11-28,ASHOKLEY,8,4,4
2025-11-28,ICICIBANK,4,2,2
2025-11-28,INFY,9,4,5
2025-11-28,OLAELEC,5,2,3
2025-11-28,RELIANCE,1,0,1
2025-11-28,SUZLON,2,1,1
2025-11-28,TMPV,8,4,4
2025-12-01,ASHOKLEY,4,2,2
2025-12-01,ICICIBANK,1,0,1
2025-12-01,INFY,6,3,3
2025-12-01,OLAELEC,4,2,2
2025-12-01,RELIANCE,6,3,3
2025-12-01,SUZLON,4,2,2
2025-12-01,TMPV,2,1,1
2025-12-02,ASHOKLEY,1,0,1
2025-12-02,ICICIBANK,2,1,1
2025-12-02,INFY,5,3,2
2025-12-02,OLAELEC,2,1,1
2025-12-02,RELIANCE,1,1,0
2025-12-02,SUZLON,2,1,1
2025-12-02,TMPV,6,3,3
2025-12-03,ASHOKLEY,5,3,2
2025-12-03,ICICIBANK,1,1,0
2025-12-03,INFY,4,2,2
2025-12-03,RELIANCE,6,3,3
2025-12-03,SUZLON,2,1,1
2025-12-03,TMPV,6,3,3
2025-12-04,ASHOKLEY,1,0,1
2025-12-04,ICICIBANK,2,1,1
2025-12-04,RELIANCE,3,1,2
2025-12-04,SUZLON,3,1,2
2025-12-04,TMPV,2,1,1
2025-12-05,ASHOKLEY,7,4,3
2025-12-05,ICICIBANK,6,3,3
2025-12-05,INFY,1,0,1
2025-12-05,OLAELEC,2,1,1
2025-12-05,RELIANCE,3,2,1
2025-12-05,SUZLON,5,3,2
2025-12-05,TMPV,7,3,4
2025-12-08,ASHOKLEY,2,1,1
2025-12-08,ICICIBANK,4,2,2
2025-12-08,INFY,2,1,1
2025-12-08,OLAELEC,3,2,1
2025-12-08,RELIANCE,4,2,2
2025-12-08,SUZLON,1,0,1
2025-12-08,TMPV,3,2,1
2025-12-09,ASHOKLEY,2,1,1
2025-12-09,ICICIBANK,1,0,1
2025-12-09,INFY,3,2,1
2025-12-09,OLAELEC,6,3,3
2025-12-09,RELIANCE,9,4,5
2025-12-09,SUZLON,3,2,1
2025-12-09,TMPV,3,1,2
2025-12-10,ASHOKLEY,3,1,2
2025-12-10,ICICIBANK,2,1,1
2025-12-10,INFY,5,2,3
2025-12-10,OLAELEC,2,1,1
2025-12-10,RELIANCE,4,2,2
2025-12-10,SUZLON,1,0,1
2025-12-10,TMPV,4,2,2
2025-12-11,ASHOKLEY,3,2,1
2025-12-11,ICICIBANK,6,3,3
2025-12-11,INFY,5,3,2
2025-12-11,OLAELEC,3,1,2
2025-12-11,RELIANCE,5,3,2
2025-12-11,SUZLON,3,2,1
2025-12-11,TMPV,9,5,4
2025-12-12,ICICIBANK,3,2,1
2025-12-12,INFY,2,1,1
2025-12-12,OLAELEC,3,2,1
2025-12-12,RELIANCE,3,1,2
2025-12-12,TMPV,2,1,1
2025-12-15,ASHOKLEY,2,1,1
2025-12-15,ICICIBANK,9,4,5
2025-12-15,INFY,3,1,2
2025-12-15,OLAELEC,8,4,4
2025-12-15,RELIANCE,3,2,1
2025-12-15,SUZLON,4,2,2
2025-12-15,TMPV,1,1,0
2025-12-16,ASHOKLEY,2,1,1
2025-12-16,ICICIBANK,7,4,3
2025-12-16,INFY,4,2,2
2025-12-16,OLAELEC,1,0,1
2025-12-16,RELIANCE,3,1,2
2025-12-16,SUZLON,2,1,1
2025-12-16,TMPV,6,3,3
2025-12-17,ASHOKLEY,2,1,1
2025-12-17,ICICIBANK,4,2,2
2025-12-17,INFY,3,2,1
2025-12-17,RELIANCE,5,3,2
2025-12-17,SUZLON,1,0,1
2025-12-17,TMPV,3,1,2
2025-12-18,ICICIBANK,3,1,2
2025-12-18,INFY,2,1,1
2025-12-18,RELIANCE,3,1,2
2025-12-18,SUZLON,3,2,1
2025-12-18,TMPV,3,2,1
2025-12-19,ASHOKLEY,2,1,1
2025-12-19,ICICIBANK,4,2,2
2025-12-19,INFY,2,1,1
2025-12-19,RELIANCE,4,2,2
2025-12-19,SUZLON,4,2,2
2025-12-19,TMPV,4,2,2
2025-12-22,ASHOKLEY,6,3,3
2025-12-22,ICICIBANK,2,1,1
2025-12-22,OLAELEC,6,3,3
2025-12-22,RELIANCE,5,3,2
2025-12-22,SUZLON,1,0,1
2025-12-22,TMPV,1,0,1
2025-12-23,ASHOKLEY,3,2,1
2025-12-23,ICICIBANK,1,1,0
2025-12-23,INFY,9,4,5
2025-12-23,OLAELEC,7,3,4
2025-12-23,RELIANCE,9,4,5
2025-12-23,SUZLON,11,6,5
2025-12-23,TMPV,4,2,2
2025-12-24,ASHOKLEY,3,1,2
2025-12-24,ICICIBANK,5,2,3
2025-12-24,INFY,7,4,3
2025-12-24,OLAELEC,7,4,3
2025-12-24,RELIANCE,1,1,0
2025-12-24,SUZLON,1,0,1
2025-12-24,TMPV,2,1,1
2025-12-26,ASHOKLEY,5,3,2
2025-12-26,INFY,1,0,1
2025-12-26,OLAELEC,6,3,3
2025-12-26,RELIANCE,10,5,5
2025-12-26,SUZLON,6,3,3
2025-12-26,TMPV,1,1,0
2025-12-29,ASHOKLEY,2,1,1
2025-12-29,ICICIBANK,6,3,3
2025-12-29,INFY,5,3,2
2025-12-29,OLAELEC,1,1,0
2025-12-29,RELIANCE,1,0,1
2025-12-29,SUZLON,2,1,1
2025-12-29,TMPV,1,0,1
2025-12-30,ASHOKLEY,2,1,1
2025-12-30,ICICIBANK,3,2,1
2025-12-30,INFY,3,1,2
2025-12-30,OLAELEC,2,1,1
2025-12-30,RELIANCE,4,2,2
2025-12-30,SUZLON,2,1,1
2025-12-30,TMPV,5,3,2
2025-12-31,ASHOKLEY,5,2,3
2025-12-31,ICICIBANK,3,1,2
2025-12-31,INFY,2,1,1
2025-12-31,OLAELEC,5,2,3
2025-12-31,RELIANCE,2,1,1
2025-12-31,SUZLON,4,2,2
2026-01-01,ASHOKLEY,3,2,1
2026-01-01,ICICIBANK,2,1,1
2026-01-01,INFY,6,3,3
2026-01-01,OLAELEC,5,3,2
2026-01-01,RELIANCE,4,2,2
2026-01-01,SUZLON,3,2,1
2026-01-01,TMPV,4,2,2
2026-01-02,ASHOKLEY,3,1,2
2026-01-02,ICICIBANK,3,2,1
2026-01-02,INFY,5,3,2
2026-01-02,RELIANCE,3,2,1
2026-01-02,TMPV,2,1,1
2026-01-05,ASHOKLEY,3,2,1
2026-01-05,ICICIBANK,2,1,1
2026-01-05,INFY,4,2,2
2026-01-05,OLAELEC,4,2,2
2026-01-05,RELIANCE,1,0,1
2026-01-05,SUZLON,4,2,2
2026-01-05,TMPV,7,4,3
2026-01-06,ASHOKLEY,4,2,2
2026-01-06,ICICIBANK,2,1,1
2026-01-06,INFY,5,3,2
2026-01-06,OLAELEC,2,1,1
2026-01-06,RELIANCE,1,1,0
2026-01-06,SUZLON,6,3,3
2026-01-06,TMPV,2,1,1
2026-01-07,ASHOKLEY,2,1,1
2026-01-07,ICICIBANK,2,1,1
2026-01-07,INFY,3,2,1
2026-01-07,OLAELEC,4,2,2
2026-01-07,RELIANCE,2,1,1
2026-01-07,SUZLON,4,2,2
2026-01-07,TMPV,2,1,1
2026-01-08,ASHOKLEY,5,2,3
2026-01-08,ICICIBANK,7,3,4
2026-01-08,INFY,1,0,1
2026-01-08,OLAELEC,3,1,2
2026-01-08,RELIANCE,1,0,1
2026-01-08,SUZLON,1,0,1
2026-01-08,TMPV,5,2,3
2026-01-09,ASHOKLEY,2,1,1
2026-01-09,ICICIBANK,2,1,1
2026-01-09,INFY,3,2,1
2026-01-09,OLAELEC,2,1,1
2026-01-09,RELIANCE,5,3,2
2026-01-09,TMPV,3,2,1
2026-01-12,ASHOKLEY,1,1,0
2026-01-12,ICICIBANK,2,1,1
2026-01-12,INFY,3,1,2
2026-01-12,OLAELEC,1,1,0
2026-01-12,RELIANCE,2,1,1
2026-01-12,SUZLON,1,1,0
2026-01-12,TMPV,6,3,3
2026-01-13,ASHOKLEY,4,2,2
2026-01-13,ICICIBANK,5,3,2
2026-01-13,INFY,1,1,0
2026-01-13,OLAELEC,1,0,1
2026-01-13,RELIANCE,1,0,1
2026-01-13,SUZLON,2,1,1
2026-01-13,TMPV,6,3,3
2026-01-14,ASHOKLEY,6,3,3
2026-01-14,ICICIBANK,3,1,2
2026-01-14,INFY,4,2,2
2026-01-14,OLAELEC,2,1,1
2026-01-14,RELIANCE,7,3,4
2026-01-14,SUZLON,1,0,1
2026-01-14,TMPV,1,0,1
2026-01-16,ASHOKLEY,3,1,2
2026-01-16,ICICIBANK,6,3,3
2026-01-16,INFY,2,1,1
2026-01-16,OLAELEC,2,1,1
2026-01-16,RELIANCE,2,1,1
2026-01-16,SUZLON,2,1,1
2026-01-16,TMPV,2,1,1
2026-01-19,ASHOKLEY,1,1,0
2026-01-19,ICICIBANK,1,1,0
2026-01-19,INFY,7,3,4
2026-01-19,OLAELEC,2,1,1
2026-01-19,RELIANCE,1,1,0
2026-01-19,SUZLON,1,1,0
2026-01-19,TMPV,2,1,1
2026-01-20,ASHOKLEY,1,0,1
2026-01-20,ICICIBANK,5,2,3
2026-01-20,RELIANCE,5,2,3
2026-01-20,SUZLON,1,0,1
2026-01-20,TMPV,2,1,1
2026-01-21,ASHOKLEY,3,2,1
2026-01-21,ICICIBANK,2,1,1
2026-01-21,INFY,3,2,1
2026-01-21,OLAELEC,8,4,4
2026-01-21,RELIANCE,3,2,1
2026-01-21,SUZLON,2,1,1
2026-01-21,TMPV,4,2,2
2026-01-22,ASHOKLEY,2,1,1
2026-01-22,ICICIBANK,1,1,0
2026-01-22,INFY,6,3,3
2026-01-22,OLAELEC,5,3,2
2026-01-22,RELIANCE,4,2,2
2026-01-22,SUZLON,3,2,1
2026-01-22,TMPV,5,3,2
2026-01-23,ASHOKLEY,1,0,1
2026-01-23,ICICIBANK,3,1,2
