variant,threshold_pct,entry_hour,trades,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r
EMA_GAP_0P05PCT,0.05,13:10,2,-17.36781180000009,-8.683905900000045,-2.9282463690476086,-1.4641231845238043
EMA_GAP_0P05PCT,0.05,13:15,11,-14.814354420000065,-1.3467594927272786,-10.00738326915251,-0.909762115377501
EMA_GAP_0P05PCT,0.05,13:20,5,-21.73198567500008,-4.346397135000016,-4.7723272278150874,-0.9544654455630175
EMA_GAP_0P05PCT,0.05,13:25,12,10.384860334999882,0.8654050279166569,1.0488475813385438,0.08740396511154531
EMA_GAP_0P05PCT,0.05,13:30,8,2.506996055000092,0.3133745068750115,0.35335131138482256,0.04416891392310282
EMA_GAP_0P05PCT,0.05,13:35,5,-8.51608646500007,-1.703217293000014,-3.992521725373864,-0.7985043450747729
EMA_GAP_0P05PCT,0.05,13:40,4,0.8888559149999701,0.22221397874999252,-1.1617571363475325,-0.29043928408688313
EMA_GAP_0P05PCT,0.05,13:45,4,2.30053433000006,0.575133582500015,0.6799756758277447,0.16999391895693616
EMA_GAP_0P05PCT,0.05,13:50,6,-8.507798125000047,-1.4179663541666745,-5.6392342597296485,-0.939872376621608
EMA_GAP_0P05PCT,0.05,13:55,6,-1.8637119749999804,-0.31061866249999676,-0.8358664478216417,-0.13931107463694029
EMA_GAP_0P05PCT,0.05,14:00,6,-26.416156899999862,-4.402692816666644,-4.554395529706035,-0.7590659216176725
EMA_GAP_0P05PCT,0.05,14:05,7,-0.8517744599997226,-0.12168206571424608,0.2213198596516418,0.0316171228073774
EMA_GAP_0P05PCT,0.05,14:10,13,-13.262551485000351,-1.02019626807695,-4.897705317427753,-0.3767465628790579
EMA_GAP_0P05PCT,0.05,14:15,8,7.527229209999856,0.940903651249982,2.612744046632106,0.32659300582901324
EMA_GAP_0P05PCT,0.05,14:20,14,-31.907608904999563,-2.279114921785683,-2.7141335906061936,-0.19386668504329954
EMA_GAP_0P05PCT,0.05,14:25,10,-4.085626445000062,-0.40856264450000623,-6.055776888675816,-0.6055776888675817
EMA_GAP_0P05PCT,0.05,14:30,7,8.504230980000049,1.214890140000007,-1.619341095836032,-0.23133444226229027
EMA_GAP_0P05PCT,0.05,14:35,8,-4.08654399500012,-0.510817999375015,0.433743786899087,0.054217973362385874
EMA_GAP_0P05PCT,0.05,14:40,5,-7.964578600000112,-1.5929157200000224,-1.921327919741307,-0.3842655839482614
EMA_GAP_0P05PCT,0.05,14:45,10,-28.77382435999999,-2.8773824359999987,-7.201448559169473,-0.7201448559169472
EMA_GAP_0P05PCT,0.05,14:50,9,-20.711767499999993,-2.301307499999999,-6.16233436649476,-0.6847038184994179
EMA_GAP_0P05PCT,0.05,14:55,8,-5.884289865000017,-0.7355362331250022,-4.566844483759329,-0.5708555604699161
EMA_GAP_0P05PCT,0.05,15:00,10,-31.399168910000196,-3.1399168910000195,-6.372211398117853,-0.6372211398117853
EMA_GAP_0P05PCT,0.05,15:05,11,-27.904611499999916,-2.536782863636356,-6.923455301460821,-0.6294050274055292
EMA_GAP_0P05PCT,0.05,15:10,16,-40.344772944999114,-2.5215483090624446,-9.356282398360875,-0.5847676498975547
EMA_GAP_0P05PCT,0.05,15:15,5,-9.904470299999856,-1.9808940599999711,-1.435020913753375,-0.28700418275067496
EMA_GAP_0P05PCT,0.05,15:20,4,-14.313262230000282,-3.5783155575000705,-2.330000236340643,-0.5825000590851608
EMA_GAP_0P05PCT,0.05,15:25,13,-32.339341835000205,-2.4876416796154004,-6.209531842787961,-0.47765629559907397
EMA_GAP_0P1PCT,0.1,09:35,207,-349.9863292599994,-1.6907552138164224,-121.30504803927874,-0.5860147248274336
EMA_GAP_0P1PCT,0.1,09:40,99,-58.303118849998796,-0.5889203924242302,-10.364152128935267,-0.10468840534278047
EMA_GAP_0P1PCT,0.1,09:45,61,-75.51370133500035,-1.2379295300819728,-34.725574817635625,-0.5692717183218955
EMA_GAP_0P1PCT,0.1,09:50,71,-74.22716060500014,-1.0454529662676075,-23.445899332923084,-0.3302239342665223
EMA_GAP_0P1PCT,0.1,09:55,45,-77.44622190500033,-1.7210271534444517,-27.135613223749658,-0.6030136271944369
EMA_GAP_0P1PCT,0.1,10:00,33,-107.99503939000022,-3.2725769512121277,-16.46991097842966,-0.49908821146756543
EMA_GAP_0P1PCT,0.1,10:05,34,-62.50101078,-1.8382650229411766,-12.298021753287328,-0.36170652215550964
EMA_GAP_0P1PCT,0.1,10:10,30,-86.35537700499974,-2.8785125668333245,-11.320433124943976,-0.37734777083146587
EMA_GAP_0P1PCT,0.1,10:15,26,-13.198227325000069,-0.5076241278846181,-9.49832093675432,-0.3653200360290123
EMA_GAP_0P1PCT,0.1,10:20,19,16.583569100000073,0.8728194263157933,-0.37632858500070687,-0.01980676763161615
EMA_GAP_0P1PCT,0.1,10:25,25,-46.00586218499999,-1.8402344873999996,-4.523868490323707,-0.18095473961294828
EMA_GAP_0P1PCT,0.1,10:30,19,-38.86507974499995,-2.0455305128947345,-8.098571988212708,-0.42624063095856357
EMA_GAP_0P1PCT,0.1,10:35,19,-20.579596674999852,-1.0831366671052554,-5.271795180481335,-0.27746290423585973
EMA_GAP_0P1PCT,0.1,10:40,19,-47.97919944000048,-2.5252210231579197,-12.927327660421797,-0.6803856663379894
EMA_GAP_0P1PCT,0.1,10:45,26,-46.878122390000044,-1.803004707307694,-16.564386139181163,-0.6370917745838909
EMA_GAP_0P1PCT,0.1,10:50,15,-25.460461475000045,-1.6973640983333362,-10.072703128506824,-0.6715135419004549
EMA_GAP_0P1PCT,0.1,10:55,10,2.194283934999877,0.21942839349998772,0.7584435081962546,0.07584435081962546
EMA_GAP_0P1PCT,0.1,11:00,9,-4.007642189999982,-0.44529357666666464,-2.059384684031059,-0.22882052044789544
EMA_GAP_0P1PCT,0.1,11:05,10,-22.159899195000136,-2.2159899195000134,-4.019338740873425,-0.4019338740873425
EMA_GAP_0P1PCT,0.1,11:10,10,-11.736726054999863,-1.1736726054999864,-3.97985215786008,-0.397985215786008
EMA_GAP_0P1PCT,0.1,11:15,9,-2.0328026500000966,-0.22586696111112184,1.8588661005153,0.20654067783503333
EMA_GAP_0P1PCT,0.1,11:20,14,-12.912344280000033,-0.9223103057142881,0.9556128689142165,0.06825806206530118
EMA_GAP_0P1PCT,0.1,11:25,11,-18.543524020000017,-1.6857749109090925,-1.1514873727938277,-0.10468067025398434
EMA_GAP_0P1PCT,0.1,11:30,14,-3.7496725699999214,-0.2678337549999944,-10.013222477545774,-0.7152301769675553
EMA_GAP_0P1PCT,0.1,11:35,6,14.4519299250001,2.4086549875000167,5.6007264155151,0.9334544025858501
