GROUP,TRADES,AVG_MFE_R,MEDIAN_MFE_R,AVG_MAE_R,MEDIAN_MAE_R,TARGET_2R_RATE_PCT,STOP_1R_RATE_PCT,AVG_ENTRY_VWAP_DISTANCE,AVG_SIGNAL_VWAP_DISTANCE,AVG_ORB_RANGE
80,31,1.7329677544243418,1.2075884244372987,1.3086508874309184,0.9339270833333627,38.70967741935484,45.16129032258064,2.8318216770343665,2.6626903059293783,4.908064516129033
85,36,1.667311671692985,0.9152122019635504,1.8164321278283566,1.5238218390804499,36.11111111111111,61.111111111111114,3.726219895234733,3.4550759169017433,6.985833333333364
90,34,1.3037286682219116,0.7379855913978522,1.6165834859699388,1.1579999999999946,20.588235294117645,58.82352941176471,3.095013850256196,2.9248030324079273,7.145294117647067
95,23,0.9223183408465674,0.7754857142857158,1.9356259621633127,1.6389589041096397,13.043478260869565,69.56521739130434,2.491037768805749,2.2747163243108797,4.621739130434782
100,19,1.2833073025026196,0.7291796874999815,1.653090170686791,0.908693693693684,26.31578947368421,42.10526315789473,3.4161061088498577,3.384226041074741,6.483684210526305
105,15,1.8272409387384774,1.2040298507462752,1.4464052420958382,0.9210096153846234,33.33333333333333,46.666666666666664,2.4565328204596684,2.2850919597347445,3.4773333333333256
110,18,1.8217273068412685,1.1691379310344887,1.8857165989538922,1.1751843220338976,27.77777777777778,50.0,3.1776657638233297,3.0397087100332745,5.819444444444438
115,13,1.218718613911281,1.0094347826087124,2.1469793647917905,1.340641791044831,15.384615384615385,61.53846153846154,3.833808264948656,3.6822615838668393,6.381538461538472
120,16,1.1211712228009016,0.7817622636210471,1.21227615863798,0.9481102484472093,18.75,50.0,4.141983875112332,4.088426304000107,10.21125000000002
125,25,1.807155532878425,1.2951703703703836,1.1329813158051056,0.7829879518072257,40.0,44.0,2.332242871550505,2.1593222894311483,4.490400000000003
130,16,1.357673053718581,1.082867681159383,1.1193984143753304,0.8035724637681372,25.0,37.5,3.3011345684277176,3.086458686411583,5.802500000000016
135,18,0.9979439816186153,1.0317273271276581,1.863894905720093,1.5106202408702387,16.666666666666664,72.22222222222221,1.6029934834397421,1.4903946970041995,3.3027777777777696
140,14,2.8338246054355625,2.4062837223713904,1.0925848449983222,0.7000078563412333,64.28571428571429,28.57142857142857,3.353253416218474,3.052522327244238,6.457142857142862
145,14,1.1330360881570378,1.1573151063242246,1.2552559358614825,0.7694413145539921,7.142857142857142,42.857142857142854,2.4844725325152437,2.2365811972757226,4.290714285714298
150,16,1.1967905440444915,0.899407513037807,1.3438626756650383,1.1040267431296866,25.0,50.0,2.888364022593751,2.6856773730138492,5.4012500000000045
155,17,1.149158172595587,0.7525810810811014,1.173188402396319,0.7500247933884244,17.647058823529413,47.05882352941176,3.9814570087302843,3.7653284608006876,7.017058823529425
160,14,1.7327321704843452,1.116872967980315,1.028626505262626,0.9589814943326329,35.714285714285715,50.0,2.738411604217634,2.541036602583582,5.055000000000011
165,13,1.6747364227268204,0.7929847328244289,0.7092905694560661,0.7201916932907441,38.46153846153847,30.76923076923077,2.6533585530038835,2.5366932473115407,4.471538461538463
170,18,1.4363665747607217,1.2016936507936657,1.0392408849266814,0.7606153333333416,27.77777777777778,44.44444444444444,3.428000388324866,3.1584199021029606,5.716111111111139
175,10,1.162709762468833,1.1632500000000006,0.9870793047524471,0.5367500000000027,10.0,20.0,1.8955035720516888,1.7720483499034536,3.7150000000000043
180,10,1.1195131232972904,0.5796330926689797,1.4213788836931445,1.212897826086979,20.0,70.0,4.338007937353285,4.0556656805414795,9.025000000000032
185,7,1.5975142152517778,1.7081914893616632,2.6855661920240226,0.7586176470588212,28.57142857142857,28.57142857142857,3.59908086908128,3.3866918920143454,5.422857142857152
190,10,1.386704672535751,0.7182938741721969,1.9275964537461387,0.8426754626952091,30.0,40.0,4.500630869625318,4.221516258112517,7.223999999999981
195,10,1.829589110838939,1.128255102040805,1.081287184716477,0.5816683673469499,40.0,40.0,3.5089351138489078,3.378588291971546,3.7480000000000118
200,12,1.070661149123575,0.5600670054200465,1.0654181219536294,0.948233720930232,16.666666666666664,50.0,4.389707901964411,4.144396613097238,7.527499999999989
205,13,1.3919284181526235,1.4485151515151058,0.9297705090112587,0.7366944444444682,23.076923076923077,30.76923076923077,3.3681365181556746,3.151621852072187,5.566923076923093
210,9,1.147873507447442,0.7509999999999977,1.0125308380132276,0.648999999999982,22.22222222222222,44.44444444444444,4.172400217759018,3.743460591794614,7.336666666666657
215,15,1.9287056707318413,1.2993142857142943,1.2798084742341127,0.9775290322580575,33.33333333333333,46.666666666666664,4.002427662719427,3.8174038448286067,6.64
220,3,0.9141188967691031,0.7505933333333322,0.7122483215130032,0.8656999999999849,0.0,0.0,5.310678602634662,5.045392388973568,7.19999999999997
225,11,1.7101616390804417,1.8125739130435001,1.0324850219636745,0.5304952380951998,27.27272727272727,36.36363636363637,2.291362748231549,2.149627673342022,4.5027272727272765
230,11,1.185806605596448,0.8351384615384515,0.8995088781858654,0.7744905660376958,9.090909090909092,27.27272727272727,2.9990368820789546,2.7773434728891147,5.3454545454545634
235,3,1.4245486971805708,1.110253968253955,2.1963199699209404,1.3680892857142366,33.33333333333333,66.66666666666666,5.815616892855208,5.334749960863519,10.366666666666712
240,11,0.9329666797221513,0.6262968750000101,1.5708800278073942,1.2411038961039071,9.090909090909092,63.63636363636363,3.281240599982255,3.024654506370236,4.376363636363634
245,6,0.7772331960598827,0.8351120001957584,1.0272305854503252,1.3181154153600283,0.0,66.66666666666666,3.9779972634067917,3.768193846569877,6.941666666666701
250,12,1.6398824446861084,1.5049523165187435,0.5534861945743109,0.4079904880066091,33.33333333333333,16.666666666666664,4.80608517718463,4.531143343304172,7.029166666666678
255,9,1.323626575194547,0.4856065573770466,1.2451449633978657,0.5942763157894584,33.33333333333333,33.33333333333333,3.9385652729298672,3.7482945470317537,6.500000000000014
260,6,1.4765057182080543,0.6751599999999911,1.3118153212525632,1.0498800000000004,16.666666666666664,50.0,3.9014611123442555,3.6613904520516543,5.565000000000015
