sl_mode,target_r,symbol,trades,total_net_r,avg_net_r,profit_factor,win_rate_pct,stop_loss,target,end_of_day,avg_mfe_r,avg_mae_r
ATR_14_X1_5,1.5,OLAELEC,772,-409.43879027896014,-0.5303611273043525,0.4032883301574831,35.62176165803109,438,261,73,1.0095911412006455,1.0398340286439267
ATR_14_X1_5,1.5,RELIANCE,819,-1124.6995783946672,-1.3732595584794471,0.0780374350626895,21.978021978021978,521,204,94,0.7665755801261372,1.006966164207054
ATR_14_X1_5,1.5,SUZLON,738,-679.7174687396121,-0.9210263804059784,0.2076880595828291,31.978319783197833,446,232,60,0.8687688916690144,1.0087412559322395
ATR_14_X1_5,1.5,TMPV,716,-748.2540405989528,-1.0450475427359676,0.15279173122452852,29.608938547486037,425,207,84,0.8543084700144271,0.9827610972676902
ATR_14_X1_5,1.75,ASHOKLEY,775,-701.4523182502514,-0.9050997654841954,0.2355708879594109,29.03225806451613,474,212,89,0.9452484762941731,1.0694939529294891
ATR_14_X1_5,1.75,ICICIBANK,811,-1175.03048266441,-1.4488661931743652,0.08761716705422506,20.838471023427868,535,170,106,0.7563073492858803,1.0622028783031663
ATR_14_X1_5,1.75,INFY,758,-876.591877714882,-1.1564536645315067,0.14983671805057477,25.32981530343008,479,191,88,0.8414358006895647,1.0062629349098384
ATR_14_X1_5,1.75,OLAELEC,772,-387.51530769139544,-0.5019628337971443,0.44781779734548655,33.93782383419689,449,236,87,1.0810312494986203,1.059233123796698
ATR_14_X1_5,1.75,RELIANCE,819,-1129.479779933657,-1.3790961903951857,0.10105747671025755,21.123321123321123,537,179,103,0.8165178169973081,1.0232322520760464
ATR_14_X1_5,1.75,SUZLON,738,-657.5191913211847,-0.8909474137143425,0.2479991325285825,30.89430894308943,454,211,73,0.9332659705500931,1.020624158468254
ATR_14_X1_5,1.75,TMPV,716,-745.0293219259753,-1.0405437457066693,0.17934157545874588,27.51396648044693,436,176,104,0.9044079327645985,0.9961329332153507
ATR_14_X1_5,2.0,ASHOKLEY,775,-686.0860883265268,-0.8852723720342281,0.26591987814072365,27.741935483870968,482,189,104,0.9958357792029182,1.0770806798255244
ATR_14_X1_5,2.0,ICICIBANK,811,-1181.738917537445,-1.4571379994296487,0.10433214404209804,19.235511713933416,546,149,116,0.7988010948443751,1.0753123619092786
ATR_14_X1_5,2.0,INFY,758,-864.6863575082773,-1.1407471734937695,0.17034915699621375,24.142480211081793,482,165,111,0.8951433979318164,1.0125399509281272
ATR_14_X1_5,2.0,OLAELEC,772,-397.1013651905123,-0.5143800067234615,0.4570024475043574,31.34715025906736,466,205,101,1.147077932130686,1.081559850781869
ATR_14_X1_5,2.0,RELIANCE,819,-1140.3928515140824,-1.3924210641197587,0.11245308825187862,19.047619047619047,548,148,123,0.8505576407525833,1.0355636039603202
ATR_14_X1_5,2.0,SUZLON,738,-658.4082611297365,-0.8921521153519465,0.2681471051483062,28.455284552845526,465,184,89,0.9914617945491576,1.0359200778573547
ATR_14_X1_5,2.0,TMPV,716,-737.5645390135273,-1.0301180712479432,0.20015119245079954,25.837988826815643,442,153,121,0.9477300132957328,1.0061817401448356
ATR_14_X1_5,2.25,ASHOKLEY,775,-699.5784213759509,-0.9026818340334851,0.26989593192194367,25.548387096774196,489,157,129,1.041338230991507,1.0891199536657554
ATR_14_X1_5,2.25,ICICIBANK,811,-1167.3594141411304,-1.439407415710395,0.12162851153356181,18.618988902589393,550,133,128,0.8353692483541006,1.0806388551941495
ATR_14_X1_5,2.25,INFY,758,-868.6198695737536,-1.1459365033954534,0.1856114378237515,22.691292875989447,491,143,124,0.9337409939352134,1.0213644976815042
ATR_14_X1_5,2.25,OLAELEC,772,-390.502137547976,-0.50583178438857,0.4757606965569511,30.310880829015545,474,179,119,1.209384525968876,1.0995154680077979
ATR_14_X1_5,2.25,RELIANCE,819,-1160.9728476252003,-1.4175492644996341,0.11791008505973227,17.094017094017094,561,124,134,0.8838561162251204,1.0456495380671713
ATR_14_X1_5,2.25,SUZLON,738,-654.6376337569939,-0.8870428641693684,0.2842713590080436,26.693766937669377,470,159,109,1.039522543338646,1.0432362497754908
