SYMBOL,SL_MODE,TARGET_R,FROZEN_ENTRIES,VALID_ENTRIES,INVALID_RISK_ENTRIES,TRADES,STOP_LOSS,TARGET,END_OF_DAY,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,AVG_MFE_R,P90_MFE_R,AVG_MAE_R,P90_MAE_R
INFY,ORB_50,2.5,236,236,0,236,108,31,97,32.20338983050847,-739.6204741250253,-3.133985059851802,0.45439902640393814,756.4277238911251,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,2.5,236,235,1,235,115,37,83,33.191489361702125,-707.2548198146303,-3.009594977934597,0.4658712875286231,715.1914158145303,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
INFY,ORB,2.75,236,236,0,236,30,0,206,38.13559322033898,-758.9089019999982,-3.2157156864406704,0.4587464264147538,792.6310036499976,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,2.75,236,236,0,236,108,23,105,31.35593220338983,-760.2537079424252,-3.2214140167051917,0.4407150699556178,779.2756898037746,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,2.75,236,235,1,235,117,32,86,31.914893617021278,-740.660727509835,-3.151747776637596,0.4499927319005249,752.4824747979044,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
INFY,ORB,3.0,236,236,0,236,30,0,206,38.13559322033898,-758.9089019999982,-3.2157156864406704,0.4587464264147538,792.6310036499976,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,3.0,236,236,0,236,108,20,108,30.93220338983051,-756.6936240572992,-3.2063289154970303,0.4443990550062764,778.3616322436487,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,3.0,236,235,1,235,119,27,89,30.21276595744681,-773.5546275780879,-3.291721819481225,0.43239244604842825,789.2615261543273,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
RELIANCE,ORB,1.0,295,295,0,295,71,57,167,30.16949152542373,-1212.301590702749,-4.109496917636438,0.3383140090171798,1212.3015907027498,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,1.0,295,295,0,295,152,110,33,31.864406779661014,-1233.7667633127007,-4.182260214619324,0.15416068021232693,1233.7667633127007,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,1.0,295,295,0,295,144,109,42,30.508474576271187,-1259.282020621783,-4.268752612277231,0.14096397146138892,1259.2820206217834,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
RELIANCE,ORB,1.25,295,295,0,295,73,41,181,28.8135593220339,-1173.529112775356,-3.9780647890690033,0.36992503151624023,1173.5291127753571,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,1.25,295,295,0,295,159,97,39,32.88135593220339,-1167.9422716748263,-3.959126344660428,0.22732403859443429,1167.9422716748268,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,1.25,295,295,0,295,150,94,51,33.220338983050844,-1210.4065338855312,-4.1030729962221395,0.20071854084465335,1211.1452149445336,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
RELIANCE,ORB,1.5,295,295,0,295,75,24,196,27.45762711864407,-1231.8533165424383,-4.175773954381147,0.3501087224834275,1231.853316542439,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,1.5,295,295,0,295,168,84,43,31.186440677966104,-1174.8356458068001,-3.9824937145993227,0.2600478176631006,1174.835645806801,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,1.5,295,295,0,295,158,74,63,28.8135593220339,-1219.58098618432,-4.134172834523119,0.23035211141601444,1219.5809861843209,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
RELIANCE,ORB,1.75,295,295,0,295,75,19,201,27.11864406779661,-1204.9430465301373,-4.084552700102161,0.3645367647981885,1204.9430465301377,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,1.75,295,295,0,295,175,66,54,26.779661016949152,-1201.2824029736255,-4.0721437388936454,0.2728460057057843,1201.2824029736257,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,1.75,295,295,0,295,161,66,68,27.796610169491526,-1181.3145847895848,-4.004456219625712,0.26443728654593834,1181.3145847895858,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
RELIANCE,ORB,2.0,295,295,0,295,75,12,208,27.11864406779661,-1189.2129787628264,-4.031230436484157,0.3728324927847884,1189.2129787628269,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,2.0,295,295,0,295,176,58,61,25.76271186440678,-1184.046659869801,-4.013717491084071,0.2889431962732168,1184.0466598698017,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,2.0,295,295,0,295,165,58,72,26.440677966101696,-1172.3241249625826,-3.973980084618924,0.2854614982815871,1172.3241249625828,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
RELIANCE,ORB,2.25,295,295,0,295,75,8,212,27.11864406779661,-1178.5377405127142,-3.995043188178692,0.3784624032228805,1178.5377405127144,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,2.25,295,295,0,295,178,48,69,24.40677966101695,-1179.7926889962007,-3.9992972508345788,0.2998432746917987,1179.7926889962014,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,2.25,295,295,0,295,168,48,79,24.74576271186441,-1205.3893307683936,-4.086065528028453,0.27859288198771565,1205.3893307683936,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
RELIANCE,ORB,2.5,295,295,0,295,75,6,214,27.11864406779661,-1168.1624729829016,-3.9598727897725476,0.3839341150100601,1168.1624729829023,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,2.5,295,295,0,295,180,41,74,23.389830508474578,-1175.945962128376,-3.986257498740258,0.3073591522593685,1175.9459621283766,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,2.5,295,295,0,295,170,42,83,24.06779661016949,-1186.493462825763,-4.0220117383924165,0.2962310622433578,1186.4934628257633,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
RELIANCE,ORB,2.75,295,295,0,295,75,3,217,27.11864406779661,-1179.554984472002,-3.9984914727864473,0.3779259287901511,1179.5549844720024,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,2.75,295,295,0,295,182,34,79,22.372881355932204,-1180.2264199200015,-4.000767525152548,0.3117763645681381,1180.2264199200022,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,2.75,295,295,0,295,171,35,89,23.050847457627118,-1174.2951207296371,-3.98066142620216,0.30628297829994405,1174.2951207296376,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
RELIANCE,ORB,3.0,295,295,0,295,75,3,217,27.11864406779661,-1171.933165066802,-3.972654796836617,0.3819455262568527,1171.9331650668025,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,3.0,295,295,0,295,183,29,83,22.033898305084744,-1168.6459284298503,-3.961511621796103,0.32162356857673924,1168.6459284298503,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,3.0,295,295,0,295,172,30,93,22.71186440677966,-1167.4110942071743,-3.957325743075167,0.31375247588630856,1167.4110942071748,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
ICICIBANK,ORB,1.0,270,270,0,270,62,50,158,32.96296296296296,-1046.2062553850988,-3.8748379829077733,0.31840194525468957,1046.2062553850983,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,1.0,270,270,0,270,140,94,36,31.851851851851855,-1110.6378506259,-4.113473520836667,0.13899711063765433,1110.6378506259002,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,1.0,270,270,0,270,143,93,34,30.0,-1134.9776205679175,-4.203620816918213,0.14730705837754676,1134.9776205679175,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
ICICIBANK,ORB,1.25,270,270,0,270,62,29,179,31.11111111111111,-1069.5453717944463,-3.9612791547942456,0.3127628609935794,1069.5453717944463,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,1.25,270,270,0,270,145,78,47,29.629629629629626,-1089.7136956518773,-4.0359766505625085,0.1872252962081916,1089.7136956518777,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,1.25,270,270,0,270,148,76,46,28.888888888888886,-1120.3215445014944,-4.149339053709238,0.18692295560152172,1120.321544501494,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
ICICIBANK,ORB,1.5,270,270,0,270,62,20,188,30.74074074074074,-1061.5126014371274,-3.9315281534708424,0.31833079312358953,1061.5126014371274,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,1.5,270,270,0,270,150,61,59,28.51851851851852,-1089.916814444401,-4.036728942386671,0.21202402234419793,1091.4256616520759,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,1.5,270,270,0,270,151,64,55,28.14814814814815,-1116.7197958187094,-4.135999243772997,0.20836183067291952,1116.7197958187087,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
ICICIBANK,ORB,1.75,270,270,0,270,62,14,194,30.37037037037037,-1058.2064405784022,-3.9192831132533414,0.32206801397017326,1058.2064405784026,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,1.75,270,270,0,270,151,54,65,27.77777777777778,-1066.0045064543258,-3.948164838719725,0.23659794804782083,1066.0045064543265,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,1.75,270,270,0,270,153,55,62,27.037037037037038,-1097.248957693945,-4.063885028496093,0.23186729750801366,1097.2489576939456,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
ICICIBANK,ORB,2.0,270,270,0,270,62,7,201,30.37037037037037,-1093.7349475426522,-4.050870176083897,0.2993069435746998,1093.7349475426522,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,2.0,270,270,0,270,152,46,72,26.296296296296294,-1063.3669157301756,-3.9383959841858354,0.24919679658926008,1063.366915730176,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,2.0,270,270,0,270,154,48,68,27.037037037037038,-1060.9544509667066,-3.929460929506321,0.2600631434968659,1060.9544509667073,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
ICICIBANK,ORB,2.25,270,270,0,270,62,7,201,30.37037037037037,-1080.3795409170398,-4.001405707100147,0.30786298424006225,1080.3795409170402,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,2.25,270,270,0,270,152,42,76,26.296296296296294,-1038.0896306083507,-3.8447764096605583,0.26704413259553506,1038.0896306083512,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,2.25,270,270,0,270,155,38,77,26.296296296296294,-1073.684313553965,-3.976608568718389,0.25587536485671447,1073.684313553965,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
ICICIBANK,ORB,2.5,270,270,0,270,62,7,201,30.37037037037037,-1067.0241342914271,-3.9519412381163965,0.3164190249054249,1067.0241342914276,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,2.5,270,270,0,270,154,34,82,24.444444444444443,-1059.3507696771767,-3.9235213691747286,0.2640755101263837,1059.3507696771774,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,2.5,270,270,0,270,157,29,84,24.814814814814813,-1101.0450787885213,-4.077944736253783,0.24749987050736283,1101.0450787885218,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
ICICIBANK,ORB,2.75,270,270,0,270,62,6,202,30.37037037037037,-1058.668344481877,-3.9209938684513963,0.3217720987133483,1058.6683444818775,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,2.75,270,270,0,270,155,23,92,23.703703703703706,-1096.920150549678,-4.062667224258067,0.2433542093073809,1096.9201505496785,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,2.75,270,270,0,270,158,23,89,24.444444444444443,-1106.5361676979699,-4.098282102585074,0.24638784800592908,1106.53616769797,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
ICICIBANK,ORB,3.0,270,270,0,270,62,6,202,30.37037037037037,-1047.6299333040022,-3.880110864088897,0.3288437736961052,1047.6299333040026,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,3.0,270,270,0,270,155,22,93,23.703703703703706,-1074.859533889053,-3.980961236626122,0.25857142701277264,1074.8595338890536,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,3.0,270,270,0,270,158,20,92,24.444444444444443,-1094.9898072695737,-4.0555178047021245,0.2542515562010669,1094.9898072695737,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
TMPV,ORB,1.0,270,270,0,270,56,54,160,36.2962962962963,-317.6824776983249,-1.176601769253055,0.4525682110641467,323.0533847945247,0.6575640814515827,1.5164959559325402,0.6851377201112905,1.5026132213407257
