sl_mode,target_r,frozen_entries,valid_entries,invalid_risk_entries,trades,stop_loss,target,end_of_day,ambiguous_candles,win_rate_pct,total_net_r,avg_net_r,profit_factor,max_drawdown_r,avg_mfe_r,p90_mfe_r,avg_mae_r,p90_mae_r
ATR_14_X1_5,1.5,5389,5389,0,5389,3281,1559,549,10,28.316941918723327,-5723.88155537845,-1.0621416877673873,0.15865632121526763,5723.881555378445,0.8403156056138752,1.8854354467400332,1.0175024036267923,1.5281239699314721
ATR_14_X1_5,1.75,5389,5389,0,5389,3364,1375,650,9,26.832436444609392,-5672.618279501756,-1.0526291110598915,0.1869566329095136,5672.618279501761,0.8950327981407821,2.069564282870533,1.0345627477526396,1.5341781304702926
ATR_14_X1_5,2.0,5389,5389,0,5389,3431,1193,765,6,24.995360920393395,-5665.978380220108,-1.0513969902059952,0.20580204347830294,5665.978380220117,0.9446174573597412,2.266312039469327,1.047011889965905,1.5417318236715036
ATR_14_X1_5,2.25,5389,5389,0,5389,3481,1036,872,5,23.56652440155873,-5664.004851805235,-1.0510307759890956,0.220008717896898,5664.004851805246,0.990376433689138,2.4938106477757613,1.0566919379837776,1.5476198733675361
ATR_14_X1_5,2.5,5389,5389,0,5389,3512,907,970,4,22.490257932826125,-5632.34823529499,-1.0451564734264225,0.2321513804347784,5632.348235295006,1.0264997302616437,2.687194120032484,1.0618819891665423,1.5493660244058918
ATR_14_X1_5,2.75,5389,5389,0,5389,3539,796,1054,2,21.52532937465207,-5628.512907678951,-1.0444447778212935,0.2393524679241261,5628.512907678968,1.0576401199178995,2.9058346475509023,1.0669964141619186,1.5509958066410863
ATR_14_X1_5,3.0,5389,5389,0,5389,3552,711,1126,1,21.042865095565038,-5581.777118603293,-1.0357723359813125,0.24900537683808166,5581.777118603305,1.083763971145817,3.1003925083174693,1.069920713681725,1.5547220125785282
ATR_14_X2,1.0,5389,5389,0,5389,2631,2042,716,8,34.1992948598998,-4261.744023610147,-0.7908227915402017,0.15632938753360634,4261.74402361016,0.6821703931142954,1.3527909161290028,0.8732090612019144,1.3740029667519504
ATR_14_X2,1.25,5389,5389,0,5389,2768,1707,914,12,32.45500092781592,-4239.573595994952,-0.7867087763954261,0.20195721358649418,4239.573595994953,0.7549948927778856,1.5559838128948662,0.90422869780918,1.39460475535878
ATR_14_X2,1.5,5389,5389,0,5389,2851,1416,1122,8,29.76433475598441,-4224.494712030872,-0.7839106906719004,0.2326294895946491,4224.494712030886,0.8165548857331117,1.7645029075303165,0.9202228289745426,1.4061905470218132
ATR_14_X2,1.75,5389,5389,0,5389,2911,1180,1298,7,27.63035813694563,-4213.116879119077,-0.7817993837667613,0.25381158568681556,4213.116879119088,0.8679211855166947,1.9808519958419837,0.932003989913207,1.4108542675333233
ATR_14_X2,2.0,5389,5389,0,5389,2948,979,1462,5,25.96028947856745,-4208.40476914778,-0.7809249896358842,0.2663768943796826,4208.404769147787,0.904316471573197,2.1660245884226916,0.9399777440025324,1.4160095608040586
ATR_14_X2,2.25,5389,5389,0,5389,2972,834,1583,2,25.03247355724624,-4175.230976045335,-0.7747691549536715,0.27874578445634346,4175.230976045341,0.9377614585673724,2.372654943808669,0.9443684958655075,1.4183702257304869
ATR_14_X2,2.5,5389,5389,0,5389,2988,707,1694,2,24.36444609389497,-4149.127520143187,-0.7699253145561676,0.2877210629619311,4149.127520143195,0.9675021757197639,2.5856243434844437,0.9482242928771445,1.4215128814228395
ATR_14_X2,2.75,5389,5389,0,5389,2993,601,1795,1,23.863425496381517,-4121.042812424768,-0.7647138267628073,0.29488656251590173,4121.042812424774,0.9910748995748274,2.7846445043103767,0.9500554672641104,1.422041770992324
ATR_14_X2,3.0,5389,5389,0,5389,2998,500,1891,0,23.585080719985154,-4105.772015688846,-0.7618801290942375,0.29934872223354586,4105.7720156888445,1.0120892562399848,2.9065999714896655,0.951151204908729,1.4221921489848763
SIGNAL_CANDLE,1.0,5389,5389,0,5389,3456,1611,322,169,14.158470959361663,-10538.496213179907,-1.9555569146743195,0.028175911597011598,10538.496213179886,0.7571021250258245,1.573303501253574,1.3146476221308119,1.9492635479546467
SIGNAL_CANDLE,1.25,5389,5389,0,5389,3600,1399,390,129,15.847095936166264,-10520.222504536694,-1.9521659871101678,0.040482820701233525,10520.222504536654,0.8141210873337875,1.7519932232196125,1.3394999781234918,1.9625393394714825
SIGNAL_CANDLE,1.5,5389,5389,0,5389,3691,1238,460,106,17.3316014102802,-10464.190436265148,-1.941768498100788,0.053427091654417565,10464.190436265122,0.8613397227236238,1.9290762493066054,1.3550311152469163,1.9769441113398447
SIGNAL_CANDLE,1.75,5389,5389,0,5389,3779,1087,523,83,17.72128409723511,-10467.565821260145,-1.9423948452885775,0.06433364985432379,10467.565821260132,0.9035394620446263,2.128451640849553,1.3737813274169028,2.000360854302545
SIGNAL_CANDLE,2.0,5389,5389,0,5389,3835,965,589,67,17.795509370940803,-10436.35066085218,-1.9366024607259567,0.07524558571913473,10436.350660852155,0.9510022379547595,2.3416087551484006,1.3879829645450428,2.017363013840509
SIGNAL_CANDLE,2.25,5389,5389,0,5389,3878,880,631,56,17.62850250510299,-10396.10074479056,-1.9291335581351938,0.08570580078051915,10396.100744790545,0.9845853536994986,2.5429077056958835,1.398184010580277,2.025965993179205
SIGNAL_CANDLE,2.5,5389,5389,0,5389,3919,790,680,50,17.387270365559473,-10370.744776849173,-1.924428423983888,0.09501584857243468,10370.744776849135,1.018760744771365,2.747748049896407,1.4056104920169383,2.0359238972689107
SIGNAL_CANDLE,2.75,5389,5389,0,5389,3951,723,715,43,17.090369270736687,-10346.148092476787,-1.9198641849094058,0.10284548260569339,10346.148092476766,1.0493488838001876,2.9429405003229485,1.4117692558255228,2.046883812882907
SIGNAL_CANDLE,3.0,5389,5389,0,5389,3978,659,752,37,16.774911857487474,-10322.34830988754,-1.9154478214673483,0.11018433386709695,10322.348309887528,1.0717162817913062,3.1600121083077997,1.4171742196532193,2.0558912268902563
SWING_5,1.0,5389,5389,0,5389,2267,1712,1410,8,32.102430877713864,-3778.2487853664943,-0.7011038755551112,0.17670240034143828,3778.2487853664925,0.6206165600056592,1.2599079946625849,0.7978459967314396,1.2940406707138923
SWING_5,1.25,5389,5389,0,5389,2371,1354,1664,6,30.395249582482837,-3776.6911576114503,-0.7008148371889868,0.2103594697214868,3776.691157611447,0.6803372598005364,1.4752753756388768,0.8219466081715725,1.306101032510815
SWING_5,1.5,5389,5389,0,5389,2429,1093,1867,7,28.72518092410466,-3757.8721672689617,-0.6973227254163967,0.2344928209395693,3757.872167268962,0.7266876139875436,1.6741621381284209,0.8350800423228565,1.314098303986014
SWING_5,1.75,5389,5389,0,5389,2466,883,2040,5,27.593245500092785,-3746.4464402237118,-0.6952025311233461,0.250017706483413,3746.4464402237113,0.7646681688875527,1.8772171989820472,0.8453831717452391,1.3182650926921253
SWING_5,2.0,5389,5389,0,5389,2495,729,2165,6,26.73965485247727,-3732.857122249706,-0.6926808540081103,0.2622318029297411,3732.8571222497076,0.7983039595274969,2.08591565195749,0.8529911735590098,1.321435735036386
SWING_5,2.25,5389,5389,0,5389,2508,602,2279,6,26.090183707552423,-3709.6661964022805,-0.6883774719618261,0.2722203488411826,3709.6661964022774,0.8210086284977446,2.2834410368445064,0.8561052511307291,1.3262717262993593
SWING_5,2.5,5389,5389,0,5389,2514,495,2380,4,25.793282612729634,-3687.088973681074,-0.684187970621836,0.2789574824031353,3687.0889736810714,0.8394325926686655,2.3857084496838064,0.8570080704175145,1.3264961398348636
SWING_5,2.75,5389,5389,0,5389,2527,414,2448,4,25.42215624420115,-3691.44996456115,-0.6849972099760901,0.2821892566631621,3691.4499645611454,0.8552339582550521,2.3857084496838064,0.8593890004013922,1.3287561067106175
SWING_5,3.0,5389,5389,0,5389,2529,348,2512,4,25.236593059936908,-3674.2041848161407,-0.6817970281714865,0.28661534853905407,3674.2041848161375,0.8685191765371698,2.3857084496838064,0.8601089610955515,1.3290506673548412
